Open,High,Low,Close
567.659973,579.219971,544,569.5
560,565.97998,530,532.119995
486.720001,486.720001,400.73999,411.720001
424.799988,478.5,417.380005,472.559998
452.019989,469.040009,442.059998,457.839996
435.839996,435.839996,388.73999,395.600006
423.880005,454.359985,412.040009,438.23999
460.399994,524.219971,420,510.26001
527.780029,535.440002,487.140015,519.840027
560,599.059998,544.119995,583.320007
583.5,617.719971,566.219971,613.159973
637.419983,646.640015,603.859985,610
591,604.140015,568.659973,596.679993
613.219971,638.580017,608.039978,621.059998
561.859985,575.059998,540.02002,556.73999
558,605.219971,553.039978,585.059998
589.359985,618,582,601.460022
653.119995,659.76001,610,631.940002
629.799988,665.76001,612,612.419983
659.219971,659.219971,600.700012,614.140015
620.559998,634.780029,602.200012,612.200012
622.640015,634,610,619.859985
604.02002,624,558.359985,599.080017
620.200012,634.340027,602,633.619995
594,605.460022,571.359985,574.73999
547,554,526,536
559.97998,561,498.579987,500.839996
475.440002,476.200012,379,381.779999
386,443.399994,365.399994,419.799988
446,479.799988,391.600006,409.200012
389.399994,426.600006,385,412
395.600006,407.600006,331,345.600006
330,337.799988,308,319.399994
311.399994,368,304,363.399994
410,428.399994,381,427.399994
461.799988,512.799988,447,512.799988
500.399994,503.600006,439,494.600006
482.200012,497.600006,450.399994,466.600006
440,450,359,368.600006
343.600006,429.399994,339,418
395,410.200012,344.200012,364.399994
381,404.799988,364.600006,368.600006
363,396.399994,346.600006,372
354,380,340,347
371.600006,375.200012,353,359.799988
356,369.399994,348,361.200012
385.399994,450,378.799988,443.600006
463.600006,474.399994,411.600006,421.799988
415,424,365,377.799988
388.799988,399.799988,360,364
349.799988,356.399994,324,339.799988
340.600006,382.399994,315,369.200012
354.799988,371,344.399994,360
382,385.600006,342,348.600006
343.600006,353.399994,314.799988,330.399994
297,297,224.199997,227.600006
237,241.399994,200.399994,227
201,212.600006,190,198.600006
222.800003,229.600006,192.399994,208.199997
216.399994,221.800003,209,216.600006
207.600006,213.199997,194.399994,195.600006
197,215.199997,195.399994,209.399994
212,242.199997,207,224.199997
211,231.199997,204,207
211.600006,220.600006,204,215.800003
229.399994,248,221.600006,247.199997
263.600006,276.600006,253,272.200012
273.399994,276.399994,251.199997,268.399994
262.399994,269.600006,258.600006,268.799988
278.399994,279.399994,237.800003,248.399994
256.200012,277.600006,248.800003,269.399994
269.600006,274.200012,242.399994,249.399994
252,253.399994,224,227.600006
226.800003,246,216.600006,226.399994
227,245,221,243.199997
266.200012,280,256.200012,268.600006
289,298.200012,247.399994,254.399994
249.600006,277.200012,249.600006,274
274.799988,274.799988,247,259.799988
234.800003,239,216.600006,227.800003
233,246,208.600006,218.600006
263.799988,264.600006,213.600006,232.800003
223.600006,225.600006,180,182.199997
183,183,130.399994,138
127.599998,158,121.199997,145.600006
148.199997,172.800003,142.600006,168
165.399994,168,146.199997,152.199997
154,164.800003,130,139.199997
135,140,128,138
147.199997,153,140.800003,146.199997
150,153.800003,136.399994,153
133.800003,135.600006,123.800003,128.600006
134,137,125.599998,128
133,145.800003,128.399994,143.600006
132.600006,144.399994,129.199997,141.399994
137.600006,138.800003,130,133.800003
132,144.399994,124,132
137.399994,147.800003,137.399994,146.199997
138.800003,154,131.199997,148
148.600006,157.600006,143.600006,146.399994
155,159.399994,148,152.600006
150.800003,153.600006,145.600006,153
147.199997,149.600006,127.199997,130
134.600006,140.199997,128.800003,130.199997
130.600006,134,125.199997,132.199997
137.600006,140.800003,107,107.800003
97.199997,99,84.800003,88.400002
93,95.599998,81,84.400002
88.599998,89,82.199997,84.800003
78.400002,86.400002,75.400002,85.599998
86.800003,87.599998,82,82.599998
82.599998,88.800003,81,82.800003
83.199997,86.599998,82.199997,86
89.800003,95.800003,88.199997,95.599998
93.599998,105.599998,90.599998,104.800003
108.400002,134.399994,106.199997,133.600006
135,144,111.599998,111.599998
114,133.199997,113.599998,132.399994
139.399994,140,128.399994,138.800003
151.800003,179.600006,150.600006,174.800003
162,176.399994,133.600006,151.399994
163.600006,175.800003,153.800003,158.399994
167.199997,178.800003,157.600006,168.800003
160.199997,177,150.800003,169.600006
183,184.199997,160,165.800003
158.199997,168.800003,151.600006,167.399994
184.199997,186.800003,177.600006,184
180.800003,186,161,167
160,172,153,165.600006
166,181.800003,160.199997,171.199997
178.600006,184.199997,173.800003,183.399994
181.199997,192.800003,171,178
166.600006,173.800003,162.800003,173.600006
161.199997,165.800003,157.399994,158.399994
160,168.199997,159,167.399994
170.800003,177.800003,165.199997,166.199997
177.199997,180,173.199997,178.600006
171.399994,186.600006,169,183.199997
198.199997,200.600006,190.600006,195.399994
194.800003,202,193.399994,201.399994
212.800003,248,208,246.800003
238.399994,257.799988,232,241.399994
254,260.600006,236.800003,247
249.199997,249.800003,222.399994,223.800003
216,242,213,238.800003
230.600006,237.199997,225.600006,229.399994
240,242,219.399994,237.199997
228,237.399994,223,233.399994
239.199997,247.600006,236,243.199997
244,247.800003,226.600006,228.800003
217.399994,230,204.199997,220.399994
220.399994,225.399994,199.600006,219.600006
232.600006,234.600006,222,222.399994
233.399994,233.600006,207,209.199997
207.800003,218,148,149.399994
161.800003,168,149.600006,157
143,166.199997,141.399994,165.800003
152.199997,157.800003,123,125.199997
124.800003,140,114.599998,134.399994
129.800003,131,105.599998,111.800003
106.400002,122,104,114.400002
108.400002,117.800003,107.800003,111.199997
112.199997,115.800003,106,107.199997
110,125.400002,107.199997,123.199997
126.199997,141.399994,123.599998,139.199997
138,140.600006,112.199997,114.400002
119,156,114.199997,152.199997
161.600006,161.800003,142.399994,148.199997
148.600006,151.600006,127.199997,134.399994
136.800003,145.399994,132.199997,141.600006
147,155.600006,144.199997,147.399994
152.600006,152.800003,140.800003,142.199997
145.399994,146.600006,127,133.600006
132.800003,138.800003,129.199997,132.199997
143,143.800003,134.399994,140.199997
139,140.399994,120.400002,128
126.400002,134.800003,124.599998,132
126,130.399994,124,125.800003
127.599998,137.399994,125.599998,129.199997
130,138,129.399994,136.199997
140,141,135,140.399994
134,141.600006,127,139.199997
136.600006,139.199997,132.600006,136.800003
144.600006,146,129.600006,134.800003
133.399994,138.399994,130,137.399994
